mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate,fbclid
0.237325149,-0.13906622,1,0,0,-0.238630952,0.148653274,1,0,0,calibration_square,0,0,0,9,1,-0.15,0.15,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.725070685,0.448143601,1,0,0,calibration_square,0,1,1,15,1,0.45,0.45,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.716811756,0.149906994,1,0,0,calibration_square,0,2,2,8,1,-0.45,0.15,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.715907738,-0.445093006,1,0,0,calibration_square,0,3,3,16,1,-0.45,-0.45,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.714360119,-0.15375,1,0,0,calibration_square,0,4,4,4,1,-0.45,-0.15,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.714654018,0.146339286,1,0,0,calibration_square,0,5,5,11,1,0.45,0.15,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.240416667,0.450066964,1,0,0,calibration_square,0,6,6,13,1,-0.15,0.45,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.236201637,-0.455948661,1,0,0,calibration_square,0,7,7,1,1,-0.15,-0.45,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.72155878,0.449702381,1,0,0,calibration_square,0,8,8,19,1,-0.45,0.45,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.723199405,0.448102679,1,0,0,calibration_square,0,9,9,12,1,-0.45,0.45,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.726841518,0.44530506,1,0,0,calibration_square,0,10,10,18,1,0.45,0.45,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.725844494,-0.449363839,1,0,0,calibration_square,0,11,11,3,1,0.45,-0.45,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.238623512,-0.154799107,1,0,0,calibration_square,0,12,12,6,1,0.15,-0.15,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.243191964,-0.151346726,1,0,0,calibration_square,0,13,13,5,1,-0.15,-0.15,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.242834821,0.452005208,1,0,0,calibration_square,0,14,14,14,1,0.15,0.45,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.723463542,-0.452150298,1,0,0,calibration_square,0,15,15,0,1,-0.45,-0.45,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.244821429,-0.450052083,1,0,0,calibration_square,0,16,16,2,1,0.15,-0.45,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.23421503,0.1528125,1,0,0,calibration_square,0,17,17,10,1,0.15,0.15,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.727090774,-0.457001488,1,0,0,calibration_square,0,18,18,17,1,0.45,-0.45,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.717555804,-0.152466518,1,0,0,calibration_square,0,19,19,7,1,0.45,-0.15,,001,2021-01-29_15h59.27.948,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
